date,Open,High,Low,Close,Volume,VWAP,Transactions
2024-07-25 04:00:00,218.93,220.85,214.62,217.49,51391199.0,218.1084,737642
2024-07-26 04:00:00,218.7,219.49,216.01,217.96,41601345.0,217.9018,608589
2024-07-29 04:00:00,216.96,219.3,215.75,218.24,36311778.0,218.1359,604724
2024-07-30 04:00:00,219.19,220.325,216.12,218.8,41643840.0,218.4072,584355
2024-07-31 04:00:00,221.44,223.82,220.63,222.08,50036262.0,222.3356,668901
2024-08-01 04:00:00,224.37,224.48,217.02,218.36,62500996.0,219.453,876129
2024-08-02 04:00:00,219.15,225.6,217.71,219.86,105568560.0,221.8938,1132553
2024-08-05 04:00:00,199.09,213.5,196.0,209.27,119548589.0,207.8017,1661550
2024-08-06 04:00:00,205.3,209.99,201.07,207.23,69660488.0,206.7399,921953
2024-08-07 04:00:00,206.9,213.64,206.39,209.82,63516417.0,210.6883,741724
2024-08-08 04:00:00,213.11,214.2,208.83,213.31,47161149.0,212.6205,628773
2024-08-09 04:00:00,212.1,216.78,211.97,216.24,42201646.0,215.1999,589469
2024-08-12 04:00:00,216.07,219.5099,215.6,217.53,38028092.0,217.5465,602530
2024-08-13 04:00:00,219.01,221.89,219.01,221.27,44155331.0,220.8758,553265
2024-08-14 04:00:00,220.57,223.03,219.7,221.72,41960574.0,221.5108,568519
2024-08-15 04:00:00,224.6,225.35,222.76,224.72,46414013.0,224.5503,590575
2024-08-16 04:00:00,223.92,226.8271,223.6501,226.05,44340240.0,225.4306,562638
2024-08-19 04:00:00,225.72,225.99,223.04,225.89,40687813.0,224.8579,606363
2024-08-20 04:00:00,225.77,227.17,225.45,226.51,30299033.0,226.5299,498797
2024-08-21 04:00:00,226.52,227.98,225.05,226.4,34765480.0,226.4461,506656
2024-08-22 04:00:00,227.79,228.34,223.9,224.53,43695321.0,225.4779,586190
2024-08-23 04:00:00,225.6589,228.22,224.33,226.84,38677250.0,226.5807,555154
2024-08-26 04:00:00,226.76,227.28,223.8905,227.18,30602208.0,226.0635,565404
2024-08-27 04:00:00,225.995,228.85,224.89,228.03,35934559.0,227.7927,491852
2024-08-28 04:00:00,227.92,229.86,225.68,226.49,38052167.0,227.418,563160
2024-08-29 04:00:00,230.1,232.92,228.88,229.79,51906297.0,230.9934,723145
2024-08-30 04:00:00,230.19,230.4,227.48,229.0,52990770.0,228.9147,594158
2024-09-03 04:00:00,228.55,229.0,221.17,222.77,50190574.0,223.7969,813604
2024-09-04 04:00:00,221.66,221.78,217.48,220.85,43840196.0,219.9662,679980
